features,recall,precision,f1,pr_auc,n_features
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20']",0.581081081081081,0.7962962962962963,0.671875,0.669730466792827,9
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V19']",0.581081081081081,0.7962962962962963,0.671875,0.6692962696540341,10
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V18']",0.581081081081081,0.7962962962962963,0.671875,0.6690380743942805,10
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V18']",0.581081081081081,0.7962962962962963,0.671875,0.6688600040785139,9
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V19', 'V18']",0.581081081081081,0.7962962962962963,0.671875,0.6687592954947087,11
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1']",0.581081081081081,0.7962962962962963,0.671875,0.6686126930310975,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V19']",0.581081081081081,0.7962962962962963,0.671875,0.66858520247027,9
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V11']",0.581081081081081,0.7962962962962963,0.671875,0.6679093718327557,9
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V19']",0.5945945945945946,0.8,0.6821705426356589,0.6678724463597362,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V5']",0.5945945945945946,0.8,0.6821705426356589,0.6677997337793384,10
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V17']",0.5945945945945946,0.8,0.6821705426356589,0.6675909311308865,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V19', 'V18', 'V11']",0.581081081081081,0.7962962962962963,0.671875,0.6675342056244845,12
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V5']",0.5945945945945946,0.8,0.6821705426356589,0.6675184827217909,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3']",0.5945945945945946,0.8,0.6821705426356589,0.6674508156891266,7
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V18']",0.5945945945945946,0.8,0.6821705426356589,0.6674083072867911,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V20']",0.5945945945945946,0.8,0.6821705426356589,0.66737517220258,8
"['V14', 'V10', 'V8', 'V16', 'V4', 'V21', 'V3', 'V1', 'V20', 'V11']",0.581081081081081,0.7962962962962963,0.671875,0.667238759298506,10
